t,rpm,rpm_x1000,speed_mph,coolant_c,avg_speed_mph,distance_miles,accel_g
1928.8651952,3028.0,3.0,70.21494472281873,88.0,33.80958641141532,18.11368711512956,0.0
1929.0165306,3065.0,3.1,70.21494472281873,88.0,33.812410782194995,18.11660579629889,0.0
1929.1498936,3063.0,3.1,70.21494472281873,88.0,33.81512321250412,18.119409225487708,0.0
1929.2659032,3078.0,3.1,70.21494472281873,88.0,33.81713912600908,18.121493041212208,0.0
1929.358222,3091.0,3.1,70.21494472281873,88.0,33.81885180606564,18.123263591010414,0.0
1929.4847869,3093.0,3.1,70.21494472281873,88.0,33.82131057524849,18.12580573088576,0.0
1929.5646197,3075.0,3.1,70.21494472281873,88.0,33.82287299092155,18.12742130264806,0.0
1929.6924684,3053.0,3.1,70.21494472281873,88.0,33.82518732540886,18.12981462974973,0.0
1929.7652502,3053.0,3.1,70.21494472281873,88.0,33.82658153907435,18.131256577507465,0.0
1929.8583094,3065.0,3.1,70.21494472281873,88.0,33.82827007554251,18.13300307283586,0.0
1929.9439397,3067.0,3.1,70.21494472281873,88.0,33.82997162312516,18.134763189863527,0.0
1930.0824222,2975.0,3.0,70.21494472281873,88.0,33.83251475571495,18.137394167247272,0.0
1930.1523873,2961.0,3.0,70.21494472281873,88.0,33.83395509036192,18.13888441703573,0.0
1930.2495233,2973.0,3.0,70.21494472281873,88.0,33.835653443029,18.140641778126817,0.0
1930.3844161,2964.0,3.0,70.21494472281873,88.0,33.83819468273938,18.143271618418545,0.0
1930.4898553,2933.0,2.9,70.21494472281873,88.0,33.84022524962102,18.145373245334024,0.0
1930.5966016,2908.0,2.9,70.21494472281873,88.0,33.842204938083846,18.14742243923953,0.0
1930.653465,2904.0,2.9,70.21494472281873,88.0,33.84326525263866,18.1485200724125,0.0
1930.7812109,2897.0,2.9,70.21494472281873,88.0,33.84567891742308,18.151018926724845,0.0
1930.8850037,2895.0,2.9,70.21494472281873,88.0,33.847653789301305,18.153063747799628,0.0
1930.9299958,2892.0,2.9,70.21494472281873,88.0,33.84854668279691,18.15398834014216,0.0
1931.069267,2886.0,2.9,70.21494472281873,88.0,33.85116213079224,18.15669690113899,0.0
1931.1574461,2886.0,2.9,70.21494472281873,88.0,33.85337498309264,18.15898883786048,0.0
1931.2572769,2877.0,2.9,70.21494472281873,88.0,33.85463593959918,18.160294984063874,0.0
1931.3723094,2877.0,2.9,70.21494472281873,88.0,33.85696588508727,18.162708667648268,0.0
1931.4973831,2875.0,2.9,70.21494472281873,88.0,33.859108446198064,18.16492850532402,0.0
1931.5891459,2868.0,2.9,70.21494472281873,88.0,33.8608948753316,18.166779566308428,0.0
1931.6858067,2866.0,2.9,69.5935735305814,88.0,33.86267656816495,18.16863606463597,-0.2128719967150823
1931.7613348,2866.0,2.9,69.5935735305814,88.0,33.86408297366262,18.170105849978462,-0.2028734180278941
1931.85788,2864.0,2.9,69.5935735305814,88.0,33.86589009464577,18.17199457896783,0.0
1931.9944966,2864.0,2.9,69.5935735305814,88.0,33.8685299240089,18.17475396415832,0.0
1932.0975737,2866.0,2.9,69.5935735305814,88.0,33.87032977951123,18.17663556753902,0.0
1932.2213788,2855.0,2.9,69.5935735305814,88.0,33.87262402245159,18.179034287901,0.0
1932.3300347,2853.0,2.9,69.5935735305814,88.0,33.874623005812374,18.181124554079844,0.0
1932.4136918,2842.0,2.8,69.5935735305814,88.0,33.87620652538906,18.1827805505604,0.0
1932.5214141,2846.0,2.8,69.5935735305814,88.0,33.878130447245205,18.18479272695028,0.0
1932.6004188,2840.0,2.8,69.5935735305814,88.0,33.87967489924967,18.18640818324109,0.0
1932.7252279,2834.0,2.8,69.5935735305814,88.0,33.881915752594296,18.18875230551148,0.0
1932.8647585,2835.0,2.8,69.5935735305814,88.0,33.884502508724715,18.19145863720108,0.0
1932.957382,2829.0,2.8,69.5935735305814,88.0,33.886400159115354,18.1934442578432,0.0
1933.0457284,2846.0,2.8,69.5935735305814,88.0,33.88780585962893,18.194915259140068,0.0
1933.1731495,2873.0,2.9,68.97220233834406,88.0,33.89010991016635,18.197347391425023,-0.0632375182632362
1933.2644552,2906.0,2.9,68.97220233834406,88.0,33.8918230930443,18.19915601691673,-0.0708673610777822
1933.3995377,2925.0,2.9,68.97220233834406,88.0,33.894286895962914,18.20175738974318,-0.0800585240707296
1933.43231,2925.0,2.9,68.97220233834406,88.0,33.89487621141918,18.20237966461625,0.0
1933.5607149,2925.0,2.9,68.35083114610673,88.0,33.89717889120379,18.204818775728192,-0.1420271291847096
1933.6703774,2927.0,2.9,68.35083114610673,88.0,33.8991373737917,18.206905551285328,-0.1189808027495491
1933.7937027,2935.0,2.9,68.35083114610673,88.0,33.90134254270247,18.209255456657395,0.0
1933.8535427,2940.0,2.9,68.35083114610673,88.0,33.902433646645605,18.210418286564074,0.0
1933.948797,2940.0,2.9,68.35083114610673,88.0,33.904042742767245,18.212133294356068,0.0
1934.0812807,2940.0,2.9,68.35083114610673,88.0,33.90641311141039,18.214659973963823,0.0
1934.1923339,2945.0,2.9,68.35083114610673,88.0,33.908465456362926,18.21684793912921,0.0
1934.2659499,2947.0,2.9,68.35083114610673,88.0,33.90969094722265,18.218154535516028,0.0
1934.3806264,2945.0,2.9,68.35083114610673,88.0,33.91174387374524,18.22034353733568,0.0
